paidwork,lwage,men,malay,chinese,indian,age,agesq,gexpr,gexprsq,yprim,ysec,fail,urban,unearn,househ,amtland,unearnx
0,0,0,1,0,0,26,6.7600002,11,1.21,6,3,1,0,0,.079999998,.34999999,0
0,0,0,1,0,0,49,24.01,37,13.69,6,0,0,0,0,.079999998,.34999999,0
1,.067691594,0,1,0,0,25,6.25,13,1.6900001,6,0,0,0,0,.079999998,.34999999,0
0,0,0,1,0,0,17,2.8900001,0,0,6,5,1,0,0,.079999998,.34999999,0
0,0,0,1,0,0,15,2.25,0,0,6,3,1,0,0,.079999998,.34999999,0
0,0,0,1,0,0,59,34.810001,53,28.09,0,0,0,0,0,.079999998,.30000001,0
1,-.35216027,0,1,0,0,54,29.16,48,23.040001,0,0,0,0,0,.079999998,.30000001,0
1,-.29153565,0,1,0,0,27,7.29,15,2.25,6,0,0,0,0,.079999998,0,0
0,0,0,1,0,0,47,22.09,41,16.809999,0,0,0,0,0,.079999998,1,0
0,0,0,0,1,0,27,7.29,15,2.25,6,0,0,0,0,.079999998,0,0
1,.35157061,0,1,0,0,24,5.7600002,12,1.4400001,6,0,0,0,0,.079999998,.80000001,0
0,0,0,1,0,0,55,30.25,49,24.01,0,0,0,0,0,.079999998,.80000001,0
0,0,0,1,0,0,17,2.8900001,5,.25,6,0,0,0,0,.079999998,.80000001,0
0,0,0,0,1,0,36,12.96,24,5.7600002,6,0,0,1,0,0,0,1
0,0,0,0,1,0,15,2.25,0,0,6,3,1,1,0,0,0,1
0,0,0,0,1,0,33,10.89,18,3.24,6,3,1,1,0,0,0,0
0,0,0,1,0,0,32,10.24,20,4,6,0,0,1,0,0,0,1
0,0,0,0,1,0,23,5.29,11,1.21,6,0,0,1,0,0,0,1
0,0,0,0,1,0,29,8.4099998,18,3.24,5,0,0,1,0,.64999998,0,1
0,0,0,0,0,1,32,10.24,15,2.25,6,5,0,0,0,0,.25,0
1,.73191398,0,1,0,0,21,4.4099998,9,.81,6,0,0,0,0,0,0,0
1,1.0947587,0,1,0,0,58,33.639999,52,27.040001,0,0,0,0,0,0,0,0
1,-.29153565,0,1,0,0,16,2.5599999,3,.090000004,6,1,0,0,0,0,0,0
1,-.29153565,0,1,0,0,27,7.29,10,1,6,5,0,0,0,0,0,1
1,.31661832,0,1,0,0,51,26.01,41,16.809999,4,0,0,0,0,0,0,0
0,0,0,1,0,0,17,2.8900001,2,.039999999,6,3,1,0,0,0,0,0
1,.83339393,0,0,0,1,45,20.25,36,12.96,3,0,0,0,0,0,0,0
1,.11074981,0,0,0,1,24,5.7600002,18,3.24,0,0,0,0,0,0,0,1
1,.11074981,0,0,0,1,29,8.4099998,16,2.5599999,6,1,0,0,0,0,0,1
0,0,0,1,0,0,55,30.25,49,24.01,0,0,0,0,0,.31857142,.40000001,0
1,-.50362939,0,1,0,0,20,4,8,.63999999,6,0,0,0,0,0,0,1
0,0,0,1,0,0,44,19.360001,38,14.44,0,0,0,0,0,0,0,1
0,0,0,1,0,0,30,9,20,4,4,0,0,0,0,.40000001,0,0
0,0,0,1,0,0,53,28.09,43,18.49,4,0,0,0,0,.40000001,0,0
0,0,0,1,0,0,20,4,5,.25,6,3,1,0,0,.40000001,0,0
0,0,0,0,1,0,49,24.01,43,18.49,0,0,0,0,0,.40000001,0,0
0,0,0,1,0,0,17,2.8900001,1,.0099999998,6,4,0,0,0,.40000001,0,0
0,0,0,1,0,0,15,2.25,0,0,6,3,1,0,0,.40000001,0,0
1,-.43463647,0,1,0,0,20,4,5,.25,6,3,0,0,0,0,0,1
0,0,0,1,0,0,26,6.7600002,14,1.96,6,0,0,0,0,0,0,1
0,0,0,1,0,0,26,6.7600002,9,.81,6,5,0,0,0,.40000001,0,0
1,-.0038535693,0,1,0,0,44,19.360001,38,14.44,0,0,0,0,0,.40000001,0,0
1,.81103706,0,1,0,0,25,6.25,8,.63999999,6,5,0,0,0,.40000001,0,0
0,0,0,1,0,0,15,2.25,1,.0099999998,6,2,0,0,0,.40000001,0,0
0,0,0,1,0,0,41,16.809999,29,8.4099998,6,0,0,0,0,.40000001,0,0
1,-.26758239,0,1,0,0,33,10.89,18,3.24,6,3,0,0,0,0,0,0
0,0,0,1,0,0,55,30.25,49,24.01,0,0,0,0,0,0,0,0
1,.16320051,0,1,0,0,25,6.25,10,1,6,3,0,0,0,0,0,0
1,-.32857692,0,1,0,0,35,12.25,23,5.29,6,0,0,0,0,0,0,0
1,1.2770803,0,1,0,0,58,33.639999,52,27.040001,0,0,0,0,0,.40000001,0,1
0,0,0,0,1,0,34,11.56,22,4.8400002,6,0,0,0,0,0,0,1
0,0,0,0,1,0,59,34.810001,53,28.09,0,0,0,0,0,0,0,0
0,0,0,0,1,0,25,6.25,8,.63999999,6,5,0,0,0,.40000001,0,1
0,0,0,0,1,0,39,15.21,22,4.8400002,6,5,1,0,0,.40000001,0,1
0,0,0,0,1,0,33,10.89,18,3.24,6,3,1,0,0,.40000001,0,1
0,0,0,0,1,0,33,10.89,21,4.4099998,6,0,0,0,0,.40000001,0,1
0,0,0,0,1,0,27,7.29,12,1.4400001,6,3,0,0,0,.40000001,0,1
0,0,0,0,1,0,58,33.639999,52,27.040001,0,0,0,0,0,.40000001,0,1
1,-.29153565,0,1,0,0,20,4,5,.25,6,3,0,0,0,.40000001,0,1
0,0,0,1,0,0,39,15.21,27,7.29,6,0,0,0,0,.40000001,0,1
0,0,0,1,0,0,24,5.7600002,9,.81,6,3,0,0,0,.40000001,0,1
1,.24300651,0,0,1,0,39,15.21,27,7.29,6,0,0,0,0,0,0,0
0,0,0,0,1,0,55,30.25,47,22.09,2,0,0,0,0,.40000001,0,0
1,1.4694521,0,1,0,0,40,16,23,5.29,6,5,0,0,0,.40000001,1.7,0
0,0,0,1,0,0,65,42.25,59,34.810001,0,0,0,0,0,.40000001,1.7,0
0,0,0,0,1,0,39,15.21,27,7.29,6,0,0,0,0,.40000001,.69999999,0
0,0,0,0,1,0,16,2.5599999,1,.0099999998,6,3,1,0,0,.40000001,.69999999,0
0,0,0,0,1,0,40,16,29,8.4099998,5,0,0,0,0,0,.5,0
1,-.1051073,0,0,1,0,15,2.25,3,.090000004,6,0,0,0,0,0,.5,0
1,1.6055844,0,1,0,0,41,16.809999,24,5.7600002,6,5,0,0,.000099999997,.15000001,0,0
0,0,0,1,0,0,15,2.25,0,0,6,3,1,0,.000099999997,.15000001,0,0
1,-.044675563,0,1,0,0,32,10.24,20,4,6,0,0,0,.13,.15000001,0,0
1,1.3236003,0,1,0,0,26,6.7600002,6,.36000001,6,8,0,0,0,0,.1,0
0,0,0,1,0,0,33,10.89,21,4.4099998,6,0,0,0,0,0,0,0
0,0,0,1,0,0,18,3.24,1,.0099999998,6,5,0,0,0,.15000001,.60000002,0
1,-.32130781,0,1,0,0,46,21.16,40,16,0,0,0,0,0,.15000001,.60000002,0
