id_old,id,first,educ,educt,hrwage,lwage,age,white,female,selfemp,uncov,married,tenure,nsibs,daded,momed,educt_t,educ_t,lwage_t,age2,twoplus,aeduct,dlwage,deduc,deduct,dceduc,dceduct,cseduc,cseduct,dcsumint,dcsuminz,duncov,dmaried,dtenure,pedhs,pedcl,dcpedhs,dcpedhst,dcpedcl,dcpedclt
1,1,1,16,16,11.93557262,2.479523182,33.25119019,1,1,0,0,0,3,,12,12,16,16,2.220176697,1105.641602,0,16,0.259346485,0,0,0,0,16,16,0,0,0,0,1.333000183,1,0,0,0,0,0
1,1,0,16,16,9.208957672,2.220176697,33.25119019,1,1,0,0,0,1.666999817,,12,12,16,16,2.479523182,1105.641602,0,16,-0.259346485,0,0,0,0,16,16,0,0,0,0,-1.333000183,1,0,0,0,0,0
2,2,0,12,16,9.283223152,2.22820878,43.57014465,1,1,0,1,1,7,,12,12,12,18,2.949526787,1898.357544,0,17,-0.721318007,-6,-4,-4,-6,14,15,-56,-90,0,0,-3,1,0,-4,-6,0,0
2,2,1,18,12,19.0969162,2.949526787,43.57014465,1,1,0,1,1,10,,12,12,16,12,2.22820878,1898.357544,0,12,0.721318007,6,4,6,4,15,14,90,56,0,0,3,1,0,6,4,0,0
3,3,0,12,12,15.4473362,2.728480816,30.98390961,1,0,0,1,1,8.5,6,12,12,12,12,2.858289719,960.0026245,1,12,-0.129808903,0,0,0,0,12,12,0,0,1,0,-1.5,1,0,0,0,0,0
3,3,1,12,12,17.43215942,2.858289719,30.98390961,1,0,0,0,1,10,6,12,12,12,12,2.728480816,960.0026245,1,12,0.129808903,0,0,0,0,12,12,0,0,-1,0,1.5,1,0,0,0,0,0
4,4,0,14,14,19.31658363,2.887311935,35.21126938,1,0,0.666666687,0,0,6.666666508,4,12,12,14.33333302,14,2.813547611,1239.833496,1,14,0.073764324,0,0.333333015,0,0.333333015,14,14.16666603,0,4.72221756,-0.333333343,0,4.638999939,1,0,0,0.333333015,0,0
4,4,1,14,14.33333302,16.69861794,2.813547611,35.21126938,1,0,0,0.333333343,0,2.027666569,4,12,12,14,14,2.887311935,1239.833496,1,14.16666603,-0.073764324,0,-0.333333015,-0.333333015,0,14.16666603,14,-4.72221756,0,0.333333343,0,-4.638999939,1,0,-0.333333015,0,0,0
5,5,0,15,13,8.094970703,2.091243029,34.97877502,1,1,0,0,0,8,,12,16,15,13,3.614503145,1223.514648,0,13,-1.523260117,2,2,2,2,14,14,28,28,0,-1,-3,0,1,0,0,2,2
5,5,1,13,15,37.13289261,3.614503145,34.97877502,1,1,1,0,1,11,,12,16,13,15,2.091243029,1223.514648,0,15,1.523260117,-2,-2,-2,-2,14,14,-28,-28,0,1,3,0,1,0,0,-2,-2
