"first","educ","educt","hrwage","lwage","age","white","female","selfemp","uncov","married","tenure","nsibs","daded","momed","educt_t","educ_t","lwage_t","age2","twoplus","aeduct","dlwage","deduc","deduct","dceduc","dceduct","cseduc","cseduct","dcsumint","dcsuminz","duncov","dmaried","dtenure","pedhs","pedcl","dcpedhs","dcpedhst","dcpedcl","dcpedclt"
1,16,16,11.935572624206543,2.479523181915283,33.251190185546875,1,1,0,0,0,3,,12,12,16,16,2.2201766967773438,1105.6416015625,0,16,0.25934648513793945,0,0,0,0,16,16,0,0,0,0,1.3330001831054688,1,0,0,0,0,0
,16,16,9.20895767211914,2.2201766967773438,33.251190185546875,1,1,0,0,0,1.6669998168945312,,12,12,16,16,2.479523181915283,1105.6416015625,0,16,-0.25934648513793945,0,0,0,0,16,16,0,0,0,0,-1.3330001831054688,1,0,0,0,0,0
,12,16,9.283223152160645,2.2282087802886963,43.57014465332031,1,1,0,1,1,7,,12,12,12,18,2.949526786804199,1898.3575439453125,0,17,-0.7213180065155029,-6,-4,-4,-6,14,15,-56,-90,0,0,-3,1,0,-4,-6,0,0
1,18,12,19.09691619873047,2.949526786804199,43.57014465332031,1,1,0,1,1,10,,12,12,16,12,2.2282087802886963,1898.3575439453125,0,12,0.7213180065155029,6,4,6,4,15,14,90,56,0,0,3,1,0,6,4,0,0
,12,12,15.447336196899414,2.728480815887451,30.983909606933594,1,0,0,1,1,8.5,6,12,12,12,12,2.8582897186279297,960.0026245117188,1,12,-0.12980890274047852,0,0,0,0,12,12,0,0,1,0,-1.5,1,0,0,0,0,0
1,12,12,17.432159423828125,2.8582897186279297,30.983909606933594,1,0,0,0,1,10,6,12,12,12,12,2.728480815887451,960.0026245117188,1,12,0.12980890274047852,0,0,0,0,12,12,0,0,-1,0,1.5,1,0,0,0,0,0
,14,14,19.31658363342285,2.8873119354248047,35.21126937866211,1,0,0.6666666865348816,0,0,6.666666507720947,4,12,12,14.333333015441895,14,2.8135476112365723,1239.83349609375,1,14,0.07376432418823242,0,0.33333301544189453,0,0.33333301544189453,14,14.166666030883789,0,4.722217559814453,-0.3333333432674408,0,4.638999938964844,1,0,0,0.33333301544189453,0,0
1,14,14.333333015441895,16.698617935180664,2.8135476112365723,35.21126937866211,1,0,0,0.3333333432674408,0,2.0276665687561035,4,12,12,14,14,2.8873119354248047,1239.83349609375,1,14.166666030883789,-0.07376432418823242,0,-0.33333301544189453,-0.33333301544189453,0,14.166666030883789,14,-4.722217559814453,0,0.3333333432674408,0,-4.638999938964844,1,0,-0.33333301544189453,0,0,0
,15,13,8.094970703125,2.091243028640747,34.97877502441406,1,1,0,0,0,8,,12,16,15,13,3.6145031452178955,1223.5146484375,0,13,-1.5232601165771484,2,2,2,2,14,14,28,28,0,-1,-3,0,1,0,0,2,2
1,13,15,37.13289260864258,3.6145031452178955,34.97877502441406,1,1,1,0,1,11,,12,16,13,15,2.091243028640747,1223.5146484375,0,15,1.5232601165771484,-2,-2,-2,-2,14,14,-28,-28,0,1,3,0,1,0,0,-2,-2
,14,15,15.681567192077637,2.752376079559326,29.669403076171875,1,0,0,0,1,1.25,3,16,15,14,13,3.098949432373047,880.2734985351562,1,14,-0.3465733528137207,1,-1,-1,1,14.5,13.5,-14.5,13.5,0,0.5,-0.75,0,1,0,0,-1,1
1,13,14,25.67693519592285,3.098949432373047,29.669403076171875,1,0,0,0,0.5,2,3,16,15,15,14,2.752376079559326,880.2734985351562,1,14,0.3465733528137207,-1,1,-1,1,13.5,14.5,-13.5,14.5,0,-0.5,0.75,0,1,0,0,-1,1
,12,12,7.879538536071777,2.0003371238708496,47.80287170410156,1,1,1,0,1,27,2,12,12,12,12,2.232490062713623,2285.114501953125,1,12,-0.23215293884277344,0,0,0,0,12,12,0,0,0,0,2,1,0,0,0,0,0
1,12,12,9.869573593139648,2.232490062713623,47.80287170410156,1,1,1,0,1,25,2,12,12,12,12,2.0003371238708496,2285.114501953125,1,12,0.23215293884277344,0,0,0,0,12,12,0,0,0,0,-2,1,0,0,0,0,0
1,12,14,18.301212310791016,2.9069674015045166,51.90142822265625,1,0,0,1,1,25,,12,14,12,13,2.855215549468994,2693.75830078125,0,13.5,0.05175185203552246,-1,-2,-2,-1,13,12.5,-26,-12.5,0,0,9,1,0,-2,-1,0,0
,13,12,17.378183364868164,2.855215549468994,51.90142822265625,1,0,0,1,1,16,,12,12,14,12,2.9069674015045166,2693.75830078125,0,12,-0.05175185203552246,1,2,1,2,12.5,13,12.5,26,0,0,-9,1,0,1,2,0,0
1,12,12,12.731277465820312,2.5440616607666016,36.07666015625,1,0,0,1,1,9,,12,12,12,12,2.8317437171936035,1301.525390625,0,12,-0.28768205642700195,0,0,0,0,12,12,0,0,0,0,-5,1,0,0,0,0,0
,12,12,16.97503662109375,2.8317437171936035,36.07666015625,1,0,0,1,1,14,,12,12,12,12,2.5440616607666016,1301.525390625,0,12,0.28768205642700195,0,0,0,0,12,12,0,0,0,0,5,1,0,0,0,0,0
,17,18,16.577184677124023,2.8080272674560547,48.120452880859375,1,1,0,0,1,1,,17,16,16,18,3.2780308723449707,2315.577880859375,0,18,-0.470003604888916,-1,-2,-1,-2,17.5,17,-17.5,-34,0,1,-7,0,1,0,0,-1,-2
1,18,16,26.523494720458984,3.2780308723449707,48.120452880859375,1,1,1,0,0,8,,18,16,18,17,2.8080272674560547,2315.577880859375,0,16.5,0.470003604888916,1,2,2,1,17,17.5,34,17.5,0,-1,7,0,1,0,0,2,1
1,12,14,7.628156661987305,2.031846284866333,33.95481872558594,1,1,0,1,1,,,12,11,12,14,2.3374476432800293,1152.9296875,0,14,-0.3056013584136963,-2,-2,-2,-2,13,13,-26,-26,1,0,,1,0,-2,-2,0,0
,14,12,10.354772567749023,2.3374476432800293,33.95481872558594,1,1,0,0,1,12,,12,11,14,12,2.031846284866333,1152.9296875,0,12,0.3056013584136963,2,2,2,2,13,13,26,26,-1,0,,1,0,2,2,0,0
,16,16,4.684009552001953,1.4823205471038818,28.05863380432129,1,1,1,0,0,0.41099998354911804,4,12,14,16,16,1.981605052947998,787.2869262695312,1,16,-0.4992845058441162,0,0,0,0,16,16,0,0,0,0,-0.30566665530204773,0,1,0,0,0,0
1,16,16,7.396773338317871,1.981605052947998,28.05863380432129,1,1,1,0,0,0.7166666388511658,4,12,14,16,16,1.4823205471038818,787.2869262695312,1,16,0.4992845058441162,0,0,0,0,16,16,0,0,0,0,0.30566665530204773,0,1,0,0,0,0
1,14,14,15.91409683227539,2.767205238342285,39.340179443359375,1,0,0,1,1,18,,10,12,12,12,2.138596534729004,1547.649658203125,0,13,0.6286087036132812,2,-2,0,0,14,12,0,0,1,0,15,0,0,0,0,0,0
,12,12,8.487518310546875,2.138596534729004,39.340179443359375,1,0,0,0,1,3,,8,12,14,14,2.767205238342285,1547.649658203125,0,13,-0.6286087036132812,-2,2,0,0,12,14,0,0,-1,0,-15,0,0,0,0,0,0
,12.666666984558105,12.666666984558105,20.60405731201172,2.9686498641967773,39.1775016784668,1,0,0,0,0,15.533329963684082,1,12,12,12.333333015441895,12.333333015441895,2.76556134223938,1534.8765869140625,1,12.5,0.20308852195739746,0.33333396911621094,-0.33333396911621094,0,0,12.666666984558105,12.333333015441895,0,0,0,-1,0.1999969482421875,1,0,0,0,0,0
1,12.333333015441895,12.333333015441895,17.708166122436523,2.76556134223938,39.1775016784668,1,0,0,0,1,15.333333015441895,2,12,12,12.666666984558105,12.666666984558105,2.9686498641967773,1534.8765869140625,1,12.5,-0.20308852195739746,-0.33333396911621094,0.33333396911621094,0,0,12.333333015441895,12.666666984558105,0,0,0,1,-0.1999969482421875,1,0,0,0,0,0
1,17,16,12.108551979064941,2.4939119815826416,23.682403564453125,1,1,0,1,0,0.5,,18,18,17,16,2.872565746307373,560.8562622070312,0,16,-0.37865376472473145,1,1,1,1,16.5,16.5,16.5,16.5,1,0,-0.5,0,1,0,0,1,1
,16,17,17.682329177856445,2.872565746307373,23.682403564453125,1,1,0,0,0,1,,18,18,16,17,2.4939119815826416,560.8562622070312,0,17,0.37865376472473145,-1,-1,-1,-1,16.5,16.5,-16.5,-16.5,-1,0,0.5,0,1,0,0,-1,-1
1,12,14,15.447283744812012,2.7374331951141357,35.663238525390625,1,1,0,1,0,6,,12,12,12,15,2.658877372741699,1271.8665771484375,0,14.5,0.07855582237243652,-3,-2,-2,-3,13,13.5,-26,-40.5,1,0,-4,1,0,-2,-3,0,0
,15,12,14.28024959564209,2.658877372741699,35.663238525390625,1,1,0,0,0,10,,12,12,14,12,2.7374331951141357,1271.8665771484375,0,12,-0.07855582237243652,3,2,3,2,13.5,13,40.5,26,-1,0,4,1,0,3,2,0,0
1,14.5,14.5,9.280198097229004,2.2274649143218994,21.67487335205078,0,0,0,0,0,1.125,8,13,12,14.5,14.5,2.0199475288391113,469.8001403808594,1,14.5,0.20751738548278809,0,0,0,0,14.5,14.5,0,0,0,0,0.8914999961853027,1,0,0,0,0,0
,14.5,14.5,7.567797660827637,2.0199475288391113,21.67487335205078,0,0,0,0,0,0.23350000381469727,8,13,12.5,14.5,14.5,2.2274649143218994,469.8001403808594,1,14.5,-0.20751738548278809,0,0,0,0,14.5,14.5,0,0,0,0,-0.8914999961853027,1,0,0,0,0,0
,12,12,17.39940643310547,2.856436014175415,33.63996887207031,1,1,0,1,1,8,,12,12,12,12,2.3617401123046875,1131.6474609375,0,12,0.49469590187072754,0,0,0,0,12,12,0,0,1,1,6.5,1,0,0,0,0,0
1,12,12,10.609397888183594,2.3617401123046875,33.63996887207031,1,1,0,0,0,1.5,,12,10,12,12,2.856436014175415,1131.6474609375,0,12,-0.49469590187072754,0,0,0,0,12,12,0,0,-1,-1,-6.5,1,0,0,0,0,0
1,14,14,7.744860649108887,2.047029495239258,24.640655517578125,1,1,0,1,0,5,,12,12,16,16,2.5440616607666016,607.1619262695312,0,15,-0.49703216552734375,-2,2,0,0,14,16,0,0,1,0,1,1,0,0,0,0,0
,16,16,12.731277465820312,2.5440616607666016,24.640655517578125,1,1,0,0,0,4,,12,12,14,14,2.047029495239258,607.1619262695312,0,15,0.49703216552734375,2,-2,0,0,16,14,0,0,-1,0,-1,1,0,0,0,0,0
1,12,12,7.585719108581543,2.0262675285339355,46.36549377441406,1,1,0,0,1,5,,8,11,12,12,1.8592133522033691,2149.759033203125,0,12,0.1670541763305664,0,0,0,0,12,12,0,0,0,0,1,0,0,0,0,0,0
,12,12,6.4186859130859375,1.8592133522033691,46.36549377441406,1,1,0,0,1,4,,10,11,12,12,2.0262675285339355,2149.759033203125,0,12,-0.1670541763305664,0,0,0,0,12,12,0,0,0,0,-1,0,0,0,0,0,0
,16,18,6.7437591552734375,1.8740172386169434,44.42744445800781,1,0,0,0,1,0.8999999761581421,3,12,12,16,18,3.1271698474884033,1973.7978515625,1,18,-1.25315260887146,-2,-2,-2,-2,17,17,-34,-34,-0.5,0,-2.0999999046325684,1,0,-2,-2,0,0
1,18,16,25.247474670410156,3.1271698474884033,44.42744445800781,1,0,0,0.5,1,3,3,12,11,18,16,1.8740172386169434,1973.7978515625,1,16,1.25315260887146,2,2,2,2,17,17,34,34,0.5,0,2.0999999046325684,1,0,2,2,0,0
,12,12,39.78524398803711,3.6834959983825684,61.8726806640625,0,0,0,1,1,26,,8,6,12,12,1.6685930490493774,3828.228515625,0,12,2.0149030685424805,0,0,0,0,12,12,0,0,1,0,25,0,0,0,0,0,0
1,12,12,5.304698944091797,1.6685930490493774,61.8726806640625,0,0,1,0,1,1,,8,5,12,12,3.6834959983825684,3828.228515625,0,12,-2.0149030685424805,0,0,0,0,12,12,0,0,-1,0,-25,0,0,0,0,0,0
,16,16,5.304698944091797,1.6685930490493774,24.117721557617188,1,0,1,0,0,0.5,,12,12,16,16,3.172670364379883,581.6644897460938,0,16,-1.5040773153305054,0,0,0,0,16,16,0,0,-1,0,-1.5,1,0,0,0,0,0
1,16,16,23.871145248413086,3.172670364379883,24.117721557617188,1,0,0,1,0,2,,12,12,16,16,1.6685930490493774,581.6644897460938,0,16,1.5040773153305054,0,0,0,0,16,16,0,0,1,0,1.5,1,0,0,0,0,0
1,14,11,12.731277465820312,2.5440616607666016,32.59410095214844,1,0,0,0,1,0.5,,12,10,12,11,2.457050323486328,1062.3753662109375,0,11,0.08701133728027344,3,1,3,1,12.5,11.5,37.5,11.5,-1,1,-1.5,1,0,3,1,0,0
,11,12,11.670337677001953,2.457050323486328,32.59410095214844,1,0,0,1,0,2,,14,11,11,14,2.5440616607666016,1062.3753662109375,0,13,-0.08701133728027344,-3,-1,-1,-3,11.5,12.5,-11.5,-37.5,1,-1,1.5,1,0,-1,-3,0,0
1,12,12,17.330476760864258,2.852288246154785,54.28450393676758,1,0,0,1,0,29.33333396911621,6.5,12.333333015441895,14,12,12,2.534937620162964,2946.807373046875,1,12,0.3173506259918213,0,0,0,0,12,12,0,0,0,0,23.63333511352539,1,0,0,0,0,0
,12,12,12.615997314453125,2.534937620162964,54.28450393676758,1,0,0,1,0,5.699999809265137,6.5,12,12.333333015441895,12,12,2.852288246154785,2946.807373046875,1,12,-0.3173506259918213,0,0,0,0,12,12,0,0,0,0,-23.63333511352539,1,0,0,0,0,0
1,12,16,16.44456672668457,2.799995183944702,39.61943054199219,0,0,0,0,0,1,,8,8,12,18,3.2780308723449707,1569.69921875,0,17,-0.47803568840026855,-6,-4,-4,-6,14,15,-56,-90,0,0,-1,0,0,0,0,0,0
,18,12,26.523494720458984,3.2780308723449707,39.61943054199219,0,0,0,0,0,2,,6,6,16,12,2.799995183944702,1569.69921875,0,12,0.47803568840026855,6,4,6,4,15,14,90,56,0,0,1,0,0,0,0,0,0
1,16,16,20.729724884033203,3.031568765640259,22.072540283203125,0,0,0,0,0,0.25,,12,12,16,16,1.9974948167800903,487.197021484375,0,16,1.0340739488601685,0,0,0,0,16,16,0,0,0,0,0.08300000429153442,1,0,0,0,0,0
,16,16,7.37056827545166,1.9974948167800903,22.072540283203125,0,0,0,0,0,0.16699999570846558,,12,14,16,16,3.031568765640259,487.197021484375,0,16,-1.0340739488601685,0,0,0,0,16,16,0,0,0,0,-0.08300000429153442,1,0,0,0,0,0
1,12,12,11.947860717773438,2.480442523956299,38.01300048828125,1,1,1,0,1,4.25,2,12,12,12,12,2.608534812927246,1444.9881591796875,1,12,-0.12809228897094727,0,0,0,0,12,12,0,0,0,0,-0.25,1,0,0,0,0,0
,12,12,13.750436782836914,2.608534812927246,38.01300048828125,1,1,0,0,1,4.5,2,11.5,11.5,12,12,2.480442523956299,1444.9881591796875,1,12,0.12809228897094727,0,0,0,0,12,12,0,0,0,0,0.25,1,0,0,0,0,0
1,12,14,8.796128273010254,2.157336950302124,54.212406158447266,1,0,1,0,1,15.666666984558105,3,12,12,12,14,3.0253098011016846,2938.98486328125,1,14,-0.8679728507995605,-2,-2,-2,-2,13,13,-26,-26,0,0,-19.333332061767578,1,0,-2,-2,0,0
,14,12,20.609397888183594,3.0253098011016846,54.212406158447266,1,0,0,0,1,35,2.5,10.333333015441895,12,14,12,2.157336950302124,2938.98486328125,1,12,0.8679728507995605,2,2,2,2,13,13,26,26,0,0,19.333332061767578,1,0,2,2,0,0
1,16,16,15.91409683227539,2.767205238342285,28.32305908203125,1,1,0,0,0,6,,14,14,16,16,2.6589887142181396,802.1956787109375,0,16,0.10821652412414551,0,0,0,0,16,16,0,0,-1,0,2,0,1,0,0,0,0
,16,16,14.281840324401855,2.6589887142181396,28.32305908203125,1,1,0,1,0,4,,12,14,16,16,2.767205238342285,802.1956787109375,0,16,-0.10821652412414551,0,0,0,0,16,16,0,0,1,0,-2,0,1,0,0,0,0
,12,13,7.426578521728516,2.0050652027130127,29.861724853515625,1,1,0,0,1,1.5,,8,8,12,12,1.8592133522033691,891.7225952148438,0,12.5,0.14585185050964355,0,-1,-1,0,12.5,12,-12.5,0,0,0,-7,0,0,0,0,0,0
1,12,12,6.4186859130859375,1.8592133522033691,29.861724853515625,1,1,1,0,1,8.5,,12,12,13,12,2.0050652027130127,891.7225952148438,0,12,-0.14585185050964355,0,1,0,1,12,12.5,0,12.5,0,0,7,0,0,0,0,0,0
,16,13.5,16.710845947265625,2.810973644256592,36.99281311035156,1,0,0,0,1,20,3,13,12,16,14,2.0003371238708496,1368.46826171875,1,13.75,0.8106365203857422,2,2.5,2.5,2,14.75,15,36.875,30,0,0,1,0,1,0,0,2.5,2
1,14,16,7.879538536071777,2.0003371238708496,36.99281311035156,1,0,0,0,1,19,3,14,14,13.5,16,2.810973644256592,1368.46826171875,1,16,-0.8106365203857422,-2,-2.5,-2,-2.5,15,14.75,-30,-36.875,0,0,-1,0,1,0,0,-2,-2.5
